filename,width,height,class,xmin,ymin,xmax,ymax
ball_11828.jpg,19,21,brown,0,0,19,21
ball_88.jpg,19,21,red,0,0,19,21
ball_10621.jpg,18,19,white,0,0,18,19
ball_6506.jpg,19,19,red,0,0,19,19
ball_8696.jpg,18,20,red,0,0,18,20
ball_109.jpg,22,26,white,0,0,22,26
ball_10607.jpg,18,19,white,0,0,18,19
ball_907.jpg,24,25,white,0,0,24,25
ball_13528.jpg,18,18,blue,0,0,18,18
ball_3508.jpg,24,20,brown,0,0,24,20
ball_8404.jpg,17,19,red,0,0,17,19
ball_8085.jpg,22,23,white,0,0,22,23
ball_3085.jpg,23,21,white,0,0,23,21
ball_9145.jpg,22,24,white,0,0,22,24
ball_13956.jpg,19,19,blue,0,0,19,19
ball_11465.jpg,16,17,white,0,0,16,17
ball_3937.jpg,21,23,white,0,0,21,23
ball_14137.jpg,16,16,black,0,0,16,16
ball_1614.jpg,21,19,black,0,0,21,19
ball_1123.jpg,20,19,white,0,0,20,19
ball_1469.jpg,21,22,white,0,0,21,22
ball_3176.jpg,25,26,brown,0,0,25,26
ball_3148.jpg,25,25,brown,0,0,25,25
ball_7098.jpg,23,24,red,0,0,23,24
ball_680.jpg,20,21,pink,0,0,20,21
ball_9684.jpg,19,22,brown,0,0,19,22
ball_922.jpg,19,18,black,0,0,19,18
ball_1509.jpg,21,22,white,0,0,21,22
ball_10849.jpg,17,19,white,0,0,17,19
ball_10196.jpg,22,20,brown,0,0,22,20
ball_3359.jpg,25,22,white,0,0,25,22
ball_12415.jpg,16,16,blue,0,0,16,16
ball_7065.jpg,18,17,white,0,0,18,17
ball_3220.jpg,25,31,brown,0,0,25,31
ball_3989.jpg,20,20,white,0,0,20,20
ball_4033.jpg,19,19,white,0,0,19,19
ball_4207.jpg,19,21,white,0,0,19,21
ball_10546.jpg,25,24,brown,0,0,25,24
ball_14343.jpg,18,18,green,0,0,18,18
ball_12076.jpg,18,19,brown,0,0,18,19
ball_6936.jpg,16,17,red,0,0,16,17
ball_4238.jpg,18,19,blue,0,0,18,19
ball_2177.jpg,15,14,white,0,0,15,14
ball_5823.jpg,20,22,white,0,0,20,22
ball_12117.jpg,17,17,white,0,0,17,17
ball_13148.jpg,18,18,black,0,0,18,18
ball_2559.jpg,20,20,white,0,0,20,20
ball_16107.jpg,16,16,green,0,0,16,16
ball_14057.jpg,18,18,green,0,0,18,18
ball_6919.jpg,21,23,white,0,0,21,23
ball_3036.jpg,21,22,brown,0,0,21,22
ball_3955.jpg,21,21,white,0,0,21,21
ball_10450.jpg,25,24,brown,0,0,25,24
ball_8714.jpg,17,18,red,0,0,17,18
ball_14668.jpg,18,18,black,0,0,18,18
ball_5486.jpg,16,22,black,0,0,16,22
ball_6369.jpg,19,19,white,0,0,19,19
ball_5658.jpg,19,20,black,0,0,19,20
ball_11807.jpg,17,21,white,0,0,17,21
ball_7729.jpg,19,21,white,0,0,19,21
ball_5894.jpg,19,21,red,0,0,19,21
ball_10769.jpg,17,19,white,0,0,17,19
ball_8646.jpg,16,18,red,0,0,16,18
ball_1991.jpg,21,25,white,0,0,21,25
ball_2349.jpg,14,12,white,0,0,14,12
ball_8967.jpg,19,17,white,0,0,19,17
ball_3234.jpg,25,27,brown,0,0,25,27
ball_2295.jpg,14,12,white,0,0,14,12
ball_4374.jpg,18,21,blue,0,0,18,21
ball_10049.jpg,21,21,white,0,0,21,21
ball_5856.jpg,19,19,red,0,0,19,19
ball_7002.jpg,17,21,red,0,0,17,21
ball_8948.jpg,18,20,red,0,0,18,20
ball_10785.jpg,17,19,white,0,0,17,19
ball_803.jpg,19,20,white,0,0,19,20
ball_14526.jpg,17,17,black,0,0,17,17
ball_10739.jpg,17,19,white,0,0,17,19
ball_3424.jpg,22,23,brown,0,0,22,23
ball_10097.jpg,18,19,white,0,0,18,19
ball_9119.jpg,20,24,white,0,0,20,24
ball_11590.jpg,19,22,brown,0,0,19,22
ball_14238.jpg,19,19,blue,0,0,19,19
ball_2369.jpg,15,14,white,0,0,15,14
ball_6066.jpg,19,19,red,0,0,19,19
ball_14754.jpg,18,18,blue,0,0,18,18
ball_12208.jpg,15,18,brown,0,0,15,18
ball_4224.jpg,18,18,blue,0,0,18,18
ball_6168.jpg,21,22,red,0,0,21,22
ball_10886.jpg,18,21,red,0,0,18,21
ball_13297.jpg,18,18,green,0,0,18,18
ball_6408.jpg,19,20,red,0,0,19,20
ball_10334.jpg,25,24,brown,0,0,25,24
ball_15830.jpg,17,17,green,0,0,17,17
ball_9447.jpg,19,21,white,0,0,19,21
ball_16204.jpg,18,19,green,0,0,18,19
ball_465.jpg,25,24,white,0,0,25,24
ball_13457.jpg,17,17,blue,0,0,17,17
ball_6067.jpg,17,19,white,0,0,17,19
ball_9010.jpg,18,20,red,0,0,18,20
ball_12254.jpg,15,18,brown,0,0,15,18
ball_14980.jpg,17,17,blue,0,0,17,17
ball_5245.jpg,21,20,white,0,0,21,20
ball_15790.jpg,16,16,blue,0,0,16,16
ball_15520.jpg,16,16,blue,0,0,16,16
ball_13216.jpg,19,19,blue,0,0,19,19
ball_6019.jpg,18,18,white,0,0,18,18
ball_4371.jpg,18,22,white,0,0,18,22
ball_7111.jpg,18,19,white,0,0,18,19
ball_4606.jpg,18,18,red,0,0,18,18
ball_5643.jpg,20,22,white,0,0,20,22
ball_8079.jpg,22,23,white,0,0,22,23
ball_8649.jpg,19,17,white,0,0,19,17
ball_7550.jpg,18,20,blue,0,0,18,20
ball_16047.jpg,16,16,blue,0,0,16,16
ball_14335.jpg,18,18,green,0,0,18,18
ball_14590.jpg,16,16,green,0,0,16,16
ball_9656.jpg,19,22,brown,0,0,19,22
ball_4375.jpg,18,22,white,0,0,18,22
ball_7466.jpg,21,20,red,0,0,21,20
ball_15412.jpg,18,18,green,0,0,18,18
ball_11294.jpg,19,22,brown,0,0,19,22
ball_9851.jpg,19,20,white,0,0,19,20
ball_15721.jpg,16,16,green,0,0,16,16
ball_613.jpg,19,20,white,0,0,19,20
ball_13706.jpg,16,16,black,0,0,16,16
ball_3342.jpg,23,21,brown,0,0,23,21
ball_1877.jpg,22,22,white,0,0,22,22
ball_13373.jpg,16,16,black,0,0,16,16
ball_12599.jpg,16,16,black,0,0,16,16
ball_7268.jpg,21,23,red,0,0,21,23
ball_14826.jpg,16,16,green,0,0,16,16
ball_12824.jpg,18,19,blue,0,0,18,19
ball_11491.jpg,15,18,white,0,0,15,18
ball_10634.jpg,18,21,red,0,0,18,21
ball_9238.jpg,20,22,brown,0,0,20,22
ball_3780.jpg,19,20,red,0,0,19,20
ball_12878.jpg,18,18,green,0,0,18,18
ball_9412.jpg,20,22,brown,0,0,20,22
ball_12565.jpg,19,19,black,0,0,19,19
ball_4977.jpg,18,19,white,0,0,18,19
ball_14432.jpg,17,17,blue,0,0,17,17
ball_353.jpg,22,26,white,0,0,22,26
ball_698.jpg,20,21,pink,0,0,20,21
ball_5888.jpg,18,21,red,0,0,18,21
ball_9955.jpg,18,19,white,0,0,18,19
ball_4937.jpg,17,17,white,0,0,17,17
ball_9481.jpg,19,19,white,0,0,19,19
ball_14658.jpg,16,16,black,0,0,16,16
ball_9277.jpg,20,21,white,0,0,20,21
ball_10137.jpg,24,24,white,0,0,24,24
ball_8650.jpg,18,19,red,0,0,18,19
ball_918.jpg,18,18,black,0,0,18,18
ball_12042.jpg,17,18,brown,0,0,17,18
ball_1002.jpg,22,21,black,0,0,22,21
ball_11663.jpg,14,17,white,0,0,14,17
ball_8961.jpg,19,17,white,0,0,19,17
ball_13293.jpg,17,18,green,0,0,17,18
ball_11816.jpg,18,19,brown,0,0,18,19
ball_9292.jpg,20,22,brown,0,0,20,22
ball_8802.jpg,18,21,red,0,0,18,21
ball_13635.jpg,19,19,green,0,0,19,19
ball_10068.jpg,21,22,brown,0,0,21,22
ball_16005.jpg,16,16,green,0,0,16,16
ball_1279.jpg,21,22,white,0,0,21,22
ball_7622.jpg,19,19,blue,0,0,19,19
ball_13445.jpg,17,17,blue,0,0,17,17
ball_14514.jpg,17,17,black,0,0,17,17
ball_1719.jpg,22,22,white,0,0,22,22
ball_9514.jpg,19,22,brown,0,0,19,22
ball_8215.jpg,22,23,white,0,0,22,23
ball_8702.jpg,17,19,red,0,0,17,19
ball_11654.jpg,21,21,brown,0,0,21,21
ball_4664.jpg,19,17,red,0,0,19,17
ball_15015.jpg,16,16,blue,0,0,16,16
ball_7380.jpg,22,22,red,0,0,22,22
ball_7138.jpg,22,23,red,0,0,22,23
ball_6913.jpg,21,21,white,0,0,21,21
ball_5359.jpg,21,20,white,0,0,21,20
ball_10654.jpg,18,21,red,0,0,18,21
ball_2099.jpg,18,19,white,0,0,18,19
ball_13455.jpg,19,19,blue,0,0,19,19
ball_14513.jpg,16,16,black,0,0,16,16
ball_1480.jpg,23,22,yellow,0,0,23,22
ball_11318.jpg,19,22,brown,0,0,19,22
ball_14204.jpg,16,16,green,0,0,16,16
ball_11620.jpg,19,22,brown,0,0,19,22
ball_12895.jpg,18,18,green,0,0,18,18
ball_9600.jpg,19,22,brown,0,0,19,22
ball_9847.jpg,20,21,white,0,0,20,21
ball_3999.jpg,19,21,white,0,0,19,21
ball_7095.jpg,18,19,white,0,0,18,19
ball_12638.jpg,16,16,black,0,0,16,16
ball_5413.jpg,21,20,white,0,0,21,20
ball_2165.jpg,16,16,white,0,0,16,16
ball_915.jpg,28,29,white,0,0,28,29
ball_1518.jpg,23,22,yellow,0,0,23,22
ball_2253.jpg,15,13,white,0,0,15,13
ball_6474.jpg,21,20,red,0,0,21,20
ball_8668.jpg,17,20,red,0,0,17,20
ball_9297.jpg,20,21,white,0,0,20,21
ball_15739.jpg,16,16,black,0,0,16,16
ball_12317.jpg,18,18,white,0,0,18,18
ball_4079.jpg,18,19,white,0,0,18,19
ball_1313.jpg,24,22,white,0,0,24,22
ball_10092.jpg,20,20,brown,0,0,20,20
ball_8329.jpg,23,22,white,0,0,23,22
ball_8962.jpg,18,20,red,0,0,18,20
ball_15178.jpg,19,19,black,0,0,19,19
ball_16408.jpg,18,19,blue,0,0,18,19
ball_5151.jpg,21,20,white,0,0,21,20
ball_715.jpg,19,20,white,0,0,19,20
ball_43.jpg,22,26,white,0,0,22,26
ball_10709.jpg,17,19,white,0,0,17,19
ball_13994.jpg,18,18,black,0,0,18,18
ball_11043.jpg,22,22,white,0,0,22,22
ball_14940.jpg,16,16,black,0,0,16,16
ball_2043.jpg,18,20,white,0,0,18,20
ball_7558.jpg,18,20,blue,0,0,18,20
ball_2381.jpg,15,13,white,0,0,15,13
ball_11840.jpg,18,20,brown,0,0,18,20
ball_15319.jpg,19,19,black,0,0,19,19
ball_16070.jpg,18,18,black,0,0,18,18
ball_10026.jpg,21,22,brown,0,0,21,22
ball_479.jpg,25,25,white,0,0,25,25
ball_10596.jpg,25,24,brown,0,0,25,24
ball_4477.jpg,19,22,white,0,0,19,22
ball_3613.jpg,21,19,white,0,0,21,19
ball_5293.jpg,21,20,white,0,0,21,20
ball_11454.jpg,19,22,brown,0,0,19,22
ball_7323.jpg,18,18,white,0,0,18,18
ball_8707.jpg,19,17,white,0,0,19,17
